#dt	no_split		strang			triple_jump		order6	
0.5	1.9155630119777889	0.3928443243738612	0.03615189510589907	2.1597025224756525e-6
0.2	0.7290509309992357	0.05822782401171486	0.0008070148592818994	7.98380573754976e-8
0.1	0.3540473978772588	0.014404510685684971	4.9400316158284206e-5	5.209840784996041e-9
0.05	0.1734261449049924	0.003591715408456978	3.0713625429295346e-6	3.290496093336569e-10
0.02	0.06853375946093698	0.0005742541050583046	7.851118640132365e-8	8.448629409347543e-12
0.01	0.03413684385190364	0.00014354852504897702	4.9059165161284545e-9	5.285940204498612e-13
0.005	0.01703494409717818	3.5886193799928804e-5	3.0660374006668474e-10	3.337458439155236e-14
0.002	0.006805966331812169	5.741749010931392e-6	7.849040539460765e-12	1.2011390351656975e-15
0.001	0.0034016562868558657	1.4354357528053769e-6	4.906614648948286e-13	4.0853543924754203e-16

