# dt=0.01 eps=0.001 size_x=128 size_v=128
# sp : from 0.0 to 12.566370614359172
# v : from -5.0 to 5.0
# interpolation : Lagrange{Float64, true} order=21
# type=Float64 precision = 53
# timeopt=MPIOpt
# nb process : 8
typeof(data)=Array{Float64,2} size(data)=(128, 128)
#time	el-energy	kinetic-energy	global-energy
0.0	2.5132712032113716e-5	12.566174401735951	12.566199534447984
0.01	2.512957061347856e-5	12.56617440487927	12.566199534449883
0.02	2.5120148085202853e-5	12.566174414303907	12.566199534451993
0.03	2.5104449629023313e-5	12.566174430004683	12.566199534454311
0.04	2.5082483877374812e-5	12.566174451972959	12.566199534456835
0.05	2.5054262907704685e-5	12.566174480196654	12.566199534459562
0.06	2.5019802234519692e-5	12.566174514660263	12.566199534462498
0.07	2.4979120799134902e-5	12.566174555344835	12.566199534465634
0.08	2.493224095724354e-5	12.566174602228019	12.566199534468977
0.09	2.4879188464144715e-5	12.566174655284055	12.566199534472519
0.1	2.4819992457805317e-5	12.5661747144838	12.566199534476258
0.11	2.4754685439672056e-5	12.56617477979476	12.5661995344802
0.12	2.468330325326055e-5	12.566174851181088	12.566199534484342
0.13	2.4605885060579654e-5	12.566174928603614	12.566199534488675
0.14	2.45224733163367e-5	12.566175012019889	12.566199534493204
0.15	2.4433113740033577e-5	12.566175101384182	12.566199534497922
0.16	2.4337855285863198e-5	12.566175196647546	12.566199534502832
0.17	2.423675011054736e-5	12.566175297757813	12.566199534507923
0.18	2.4129853539042656e-5	12.566175404659667	12.566199534513206
0.19	2.4017224028177374e-5	12.56617551729464	12.566199534518669
0.2	2.3898923128257948e-5	12.566175635601184	12.566199534524312
0.21	2.3775015442679957e-5	12.566175759514683	12.566199534530126
0.22	2.3645568585475396e-5	12.566175888967537	12.566199534536123
0.23	2.351065313699301e-5	12.56617602388915	12.566199534542287
0.24	2.3370342597606915e-5	12.566176164206018	12.566199534548616
0.25	2.3224713339539673e-5	12.566176309841774	12.566199534555114
0.26	2.3073844556823386e-5	12.566176460717212	12.56619953456177
0.27	2.291781821345467e-5	12.566176616750372	12.566199534568586
0.28	2.2756718989762892e-5	12.566176777856564	12.566199534575553
0.29	2.2590634227010498e-5	12.566176943948452	12.56619953458268
0.3	2.2419653870330917e-5	12.566177114936073	12.566199534589943
0.31	2.224387040995177e-5	12.566177290726946	12.566199534597356
0.32	2.206337882083433e-5	12.566177471226084	12.566199534604905
0.33	2.1878276500729434e-5	12.566177656336087	12.566199534612588
0.34	2.1688663206662575e-5	12.566177845957203	12.56619953462041
0.35	2.1494640989977718e-5	12.566178039987365	12.566199534628355
0.36	2.1296314129921278e-5	12.566178238322289	12.566199534636418
0.37	2.1093789065796643e-5	12.566178440855538	12.566199534644603
0.38	2.088717432784218e-5	12.566178647478575	12.566199534652903
0.39	2.0676580466741656e-5	12.56617885808085	12.566199534661317
0.4	2.046211998192464e-5	12.566179072549843	12.566199534669826
0.41	2.0243907248670303e-5	12.566179290771199	12.566199534678448
0.42	2.002205844404718e-5	12.566179512628711	12.566199534687154
0.43	1.9796691471787995e-5	12.566179738004488	12.56619953469596
0.44	1.9567925886116722e-5	12.56617996677896	12.566199534704847
0.45	1.9335882814556003e-5	12.566180198831006	12.566199534713821
0.46	1.9100684879878064e-5	12.566180434037983	12.566199534722863
0.47	1.8862456121120698e-5	12.566180672275864	12.566199534731986
0.48	1.8621321913811854e-5	12.566180913419261	12.566199534741175
0.49	1.8377408889425906e-5	12.566181157341536	12.566199534750425
0.5	1.8130844854141552e-5	12.566181403914877	12.56619953475973
0.51	1.7881758706951594e-5	12.566181653010384	12.56619953476909
0.52	1.7630280357189306e-5	12.566181904498135	12.566199534778493
0.53	1.7376540641501156e-5	12.5661821582473	12.566199534787941
0.54	1.7120671240379247e-5	12.566182414126187	12.566199534797427
0.55	1.6862804594272398e-5	12.566182672002348	12.566199534806943
0.56	1.6603073819321658e-5	12.566182931742661	12.56619953481648
0.57	1.6341612622829288e-5	12.566183193213421	12.566199534826044
0.58	1.607855521847184e-5	12.56618345628041	12.566199534835627
0.59	1.581403624136851e-5	12.566183720808977	12.566199534845218
0.6	1.5548190662979312e-5	12.566183986664152	12.566199534854816
0.61	1.5281153706000142e-5	12.566184253710707	12.566199534864413
0.62	1.5013060759246658e-5	12.566184521813252	12.566199534874011
0.63	1.4744047292557204e-5	12.566184790836301	12.566199534883594
0.64	1.4474248771905291e-5	12.566185060644395	12.566199534893167
0.65	1.4203800574581e-5	12.566185331102144	12.566199534902719
0.66	1.3932837904725675e-5	12.566185602074338	12.566199534912242
0.67	1.366149570907734e-5	12.566185873426031	12.56619953492174
0.68	1.3389908593101947e-5	12.56618614502261	12.566199534931204
0.69	1.3118210737567752e-5	12.566186416729888	12.566199534940626
0.7	1.2846535815539143e-5	12.566186688414193	12.566199534950009
0.71	1.2575016909944898e-5	12.566186959942431	12.566199534959342
0.72	1.230378643169308e-5	12.566187231182184	12.566199534968616
0.73	1.2032976038467353e-5	12.56618750200179	12.566199534977828
0.74	1.1762716554183976e-5	12.566187772270432	12.566199534986985
0.75	1.149313788922494e-5	12.566188041858178	12.566199534996066
0.76	1.1224368961469915e-5	12.566188310636123	12.566199535005085
0.77	1.0956537618191539e-5	12.566188578476403	12.566199535014022
0.78	1.0689770558844031e-5	12.56618884525232	12.566199535022879
0.79	1.042419325885898e-5	12.566189110838383	12.566199535031643
0.8	1.0159929894398025e-5	12.56618937511043	12.566199535040324
0.81	9.897103268256743e-6	12.566189637945635	12.566199535048904
0.82	9.635834736783147e-6	12.566189899222653	12.56619953505739
0.83	9.376244138042735e-6	12.56619015882163	12.566199535065769
0.84	9.118449721166057e-6	12.566190416624318	12.56619953507404
0.85	8.862568076963441e-6	12.566190672514129	12.566199535082205
0.86	8.608714069815994e-6	12.566190926376182	12.566199535090252
0.87	8.357000770978884e-6	12.566191178097412	12.566199535098184
0.88	8.107539393219423e-6	12.566191427566597	12.56619953510599
0.89	7.860439226919447e-6	12.566191674674446	12.566199535113673
0.9	7.615807577669772e-6	12.566191919313647	12.566199535121225
0.91	7.373749705345063e-6	12.566192161378938	12.566199535128643
0.92	7.134368764774856e-6	12.566192400767155	12.56619953513592
0.93	6.897765747991103e-6	12.56619263737732	12.566199535143069
0.94	6.664039428118662e-6	12.566192871110637	12.566199535150066
0.95	6.43328630491525e-6	12.566193101870617	12.566199535156922
0.96	6.20560055204735e-6	12.566193329563077	12.56619953516363
0.97	5.9810739660713295e-6	12.566193554096218	12.566199535170185
0.98	5.759795917187429e-6	12.56619377538067	12.566199535176587
0.99	5.541853301805966e-6	12.566193993329529	12.56619953518283
1.0	5.3273304969174115e-6	12.56619420785842	12.566199535188916
1.01	5.116309316343058e-6	12.566194418885525	12.56619953519484
1.02	4.9088689688314355e-6	12.566194626331633	12.566199535200601
1.03	4.70508601808414e-6	12.566194830120182	12.5661995352062
1.04	4.505034344701657e-6	12.566195030177283	12.566199535211629
1.05	4.308785110069915e-6	12.566195226431775	12.566199535216885
1.06	4.116406722219711e-6	12.56619541881525	12.566199535221973
1.07	3.927964803681559e-6	12.566195607262081	12.566199535226884
1.08	3.743522161335017e-6	12.566195791709461	12.566199535231622
1.09	3.563138758265046e-6	12.566195972097434	12.566199535236192
1.1	3.386871687694834e-6	12.566196148368894	12.566199535240582
1.11	3.214775148908969e-6	12.566196320469643	12.566199535244792
1.12	3.046900425283506e-6	12.566196488348398	12.566199535248822
1.13	2.8832958643494263e-6	12.566196651956803	12.566199535252668
1.14	2.724006859945511e-6	12.566196811249478	12.566199535256338
1.15	2.5690758364606005e-6	12.566196966183988	12.566199535259823
1.16	2.418542235140515e-6	12.566197116720891	12.566199535263127
1.17	2.2724425025015594e-6	12.566197262823746	12.566199535266248
1.18	2.1308100808342323e-6	12.566197404459107	12.566199535269188
1.19	1.993675400795145e-6	12.566197541596544	12.566199535271945
1.2	1.861065876083332e-6	12.56619767420864	12.566199535274515
1.21	1.7330059002183945e-6	12.566197802271	12.566199535276901
1.22	1.6095168453968318e-6	12.566197925762262	12.566199535279107
1.23	1.4906170634219344e-6	12.566198044664068	12.56619953528113
1.24	1.3763218887075174e-6	12.566198158961086	12.566199535282975
1.25	1.2666436433424248e-6	12.56619826864099	12.566199535284634
1.26	1.1615916442119795e-6	12.566198373694464	12.566199535286108
1.27	1.0611722121487054e-6	12.566198474115193	12.566199535287405
1.28	9.65388683123242e-7	12.566198569899832	12.566199535288515
1.29	8.742414214314958e-7	12.566198661048034	12.566199535289455
1.3	7.877278348916131e-7	12.566198747562376	12.566199535290211
1.31	7.058423920096731e-7	12.566198829448401	12.566199535290794
1.32	6.285766411083185e-7	12.566198906714554	12.566199535291195
1.33	5.559192313965444e-7	12.566198979372201	12.566199535291432
1.34	4.878559359496155e-7	12.566199047435555	12.56619953529149
1.35	4.2436967659373163e-7	12.566199110921705	12.566199535291382
1.36	3.654405506482441e-7	12.566199169850547	12.566199535291098
1.37	3.1104585952384994e-7	12.566199224244789	12.566199535290648
1.38	2.611601391269828e-7	12.566199274129895	12.566199535290034
1.39	2.1575519206315033e-7	12.566199319534062	12.566199535289254
1.4	1.7480012159279436e-7	12.566199360488191	12.566199535288312
1.41	1.382613673195782e-7	12.56619939702585	12.566199535287216
1.42	1.0610274257546999e-7	12.566199429183218	12.56619953528596
1.43	7.828547346690127e-8	12.566199456999076	12.56619953528455
1.44	5.4768239556184827e-8	12.566199480514745	12.566199535282985
1.45	3.550721613312121e-8	12.56619949977405	12.566199535281267
1.46	2.0456118048734298e-8	12.566199514823285	12.566199535279404
1.47	9.566245067243638e-9	12.56619952571115	12.566199535277395
1.48	2.786528703819727e-9	12.56619953248872	12.56619953527525
1.49	6.358050393997839e-11	12.56619953520938	12.566199535272961
1.5	1.3417417281473634e-9	12.566199533928799	12.56619953527054
