# dt=0.01 eps=0.5 size1_sp=64 size2_sp=64 size_v1=64 size_v2=64
# sp1 : from 0.0 to 12.566370614359172
# sp2 : from 0.0 to 12.566370614359172
# v1 : from -6.0 to 6.0
# v2 : from -6.0 to 6.0
# interpolation : Lagrange{Double64, true} order=101
# type=Double64 precision = 106
# timeopt=MPIOpt
# nb process : 16
typeof(data)=Array{Double64,4} size(data)=(64, 64, 64, 64)
#time	el-energy	kinetic-energy	global-energy
4.46	9.129726133330204	345.99012261129093	355.11984874462115
4.47	9.150236724698539	345.95630119726246	355.106537921961
4.48	9.166414062689814	345.928850432554	355.0952644952438
4.49	9.178273340608841	345.90775011836894	355.0860234589778
4.5	9.185833835626205	345.8929740833497	355.0788079189759
4.51	9.189118834136565	345.88449029447435	355.0736091286109
4.52	9.188155554094791	345.88226097208917	355.070416526184
4.53	9.182975064442635	345.8862427088997	355.06921777334236
4.54	9.173612201740184	345.8963865927454	355.06999879448557
4.55	9.160105484117963	345.9126383329799	355.07274381709783
4.56	9.142497022666882	345.9349383902826	355.07743541294946
4.57	9.120832430384581	345.96322210972244	355.08405454010705
4.58	9.095160728797962	345.99741985689985	355.09258058569776
4.59	9.065534252382779	346.03745715698835	355.1029914093711
4.6	9.03200855090218	346.0832548365025	355.11526338740464
4.61	8.994642289787004	346.13472916761447	355.1293714574015
4.62	8.953497148681445	346.19179201484616	355.1452891635276
4.63	8.908637718278335	346.25435098396144	355.1629887022398
4.64	8.860131395568926	346.32230957288573	355.18244096845467
4.65	8.808048277632473	346.3955673244802	355.2036156021127
4.66	8.752461054091276	346.4740199809983	355.2264810350896
4.67	8.69344489835705	346.55755964005454	355.25100453841156
4.68	8.631077357794625	346.6460749119351	355.2771522697297
4.69	8.565438242928915	346.73945107808237	355.30488932101133
4.7	8.496609515820976	346.83757025058554	355.3341797664065
4.71	8.424675177738726	346.9403115325112	355.3649867102499
4.72	8.349721156247439	347.0475511789099	355.39727233515737
4.73	8.271835191844676	347.1591627583347	355.43099795017935
4.74	8.191106724263614	347.2750173147108	355.4661240389744
4.75	8.10762677856793	347.39498352939603	355.50261030796395
4.76	8.021487851160579	347.5189278832741	355.54041573443465
4.77	7.932783795827607	347.6467148187242	355.57949861455177
4.78	7.841609709937115	347.77820690131307	355.61981661125014
4.79	7.748061820912055	347.91326498105667	355.66132680196876
4.8	7.652237373094174	348.051748353102	355.7039857261962
4.81	7.554234515114825	348.1935149176804	355.74774943279516
4.82	7.4541521878866375	348.3384213391875	355.7925735270741
4.83	7.352090013328261	348.4863232042471	355.83841321757535
4.84	7.248148183932386	348.6370751786174	355.8852233625498
4.85	7.14242735328522	348.7905311628029	355.9329585160881
4.86	7.035028527643334	348.9465444462364	355.98157297387974
4.87	6.926052958671535	349.10496785989966	356.03102081857116
4.88	6.815602037442941	349.2656539272528	356.08125596469574
4.89	6.703777189799909	349.42845501334693	356.1322322031468
4.9	6.590679773171797	349.5932234719974	356.18390324516923
4.91	6.4764109749428025	349.7598117908973	356.2362227658401
4.92	6.36107171246022	349.92807273455594	356.28914444701616
4.93	6.244762534770547	350.09785948494886	356.3426220197194
4.94	6.127583526167801	350.2690257797705	356.3966093059383
4.95	6.0096342116352695	350.4414260481838	356.4510602598191
4.96	5.8910134642587275	350.6149155439645	356.50592900822323
4.97	5.771819414685859	350.7893504759424	356.56116989062826
4.98	5.652149362703262	350.9645881356448	356.6167374983481
4.99	5.5320996909990185	351.1404870220515	356.6725867130505
5.0	5.411765781175317	351.3169069633751	356.7286727445504
5.01	5.291241932072125	351.49370923578346	356.7849511678556
5.02	5.170621280459306	351.6707566789859	356.84137795944525
5.03	5.049995724151032	351.84791380860884	356.89790953275985
5.04	4.929455847592634	352.0250469252891	356.9545027728817
5.05	4.809090849966472	352.2020242204206	357.01111507038706
5.06	4.688988475859645	352.3787158784901	357.0677043543497
5.07	4.569234948532756	352.554994175945	357.1242291244778
