# begin gnuplot order=[3, 11, 31] julia precision=1024
# size	Lagrange(3)	B_Spline(3)	Lagrange(11)	B_Spline(11)	Lagrange(31)	B_Spline(31)
6701	2.3344702868806124e-14	1.674465464704022e-15	2.5649071627709545e-41	3.895980872352973e-46	3.882102263342619e-108	1.1688109663054368e-122
6801	2.2001673935944106e-14	1.5781328645221049e-15	2.147206295763211e-41	3.2615114396006707e-46	2.4166066371506444e-108	7.27583884234065e-123
6901	2.0753851985874638e-14	1.488629259394224e-15	1.802199004209622e-41	2.7374604265641965e-46	1.5147811600577134e-108	4.5606507065011744e-123
7001	1.9593251592085583e-14	1.4053818714807955e-15	1.5164431947665824e-41	2.3034098622524416e-46	9.558996432780655e-109	2.877988363796562e-123
7101	1.851265792028636e-14	1.3278731959140329e-15	1.2791248329261883e-41	1.9429336875555034e-46	6.071701208186766e-109	1.8280452887203472e-123
7201	1.7505542902770477e-14	1.2556349881583192e-15	1.0815170112270533e-41	1.6427761020255764e-46	3.8811895933692827e-109	1.1685337223554759e-123
7301	1.6565991533151723e-14	1.1882429772842633e-15	9.16555796213652e-42	1.392207292873373e-46	2.4963166220272804e-109	7.515811853531185e-124
7401	1.568863694189732e-14	1.1253122090713194e-15	7.785064989533487e-42	1.1825165136874492e-46	1.6152579768266227e-109	4.863153427924347e-124
7501	1.4868603105568667e-14	1.0664929366605668e-15	6.627002137206296e-42	1.006611897640036e-46	1.0512876060877359e-109	3.1651731520157337e-124
7601	1.4101454205384308e-14	1.0114669881497025e-15	5.653251530371132e-42	8.587035041167152e-47	6.881314512907699e-110	2.0717969739669665e-124
7701	1.338314978856942e-14	9.599445504099506e-16	4.832608592062564e-42	7.340514929802998e-47	4.529256431747578e-110	1.3636488779160158e-124
7801	1.2710005003012292e-14	9.11661316800821e-16	4.1394607643050746e-42	6.287654278707066e-47	2.9972707421501417e-110	9.024049990997852e-125
7901	1.207865527536678e-14	8.66375953604066e-16	3.5527313358852144e-42	5.396438480991212e-47	1.9939253659402504e-110	6.003220424010197e-125
8001	1.148602488770007e-14	8.238678460922286e-16	3.055032719623516e-42	4.640456550499325e-47	1.3332703802873588e-110	4.0141491091892813e-125
8101	1.0929298980395294e-14	7.839350903553582e-16	2.631985712308831e-42	3.9978671065600036e-47	8.959807161305706e-111	2.697576781493586e-125
8201	1.0405898571200425e-14	7.463927014696423e-16	2.2716706825889284e-42	3.450564751775617e-47	6.05057876876286e-111	1.8216794464244683e-125
8301	9.913458233671405e-15	7.110710124188675e-16	1.9641839233306222e-42	2.983506190217469e-47	4.1054584741499006e-111	1.2360515792322654e-125
8401	9.449806124129916e-15	6.77814241469955e-16	1.7012780714416493e-42	2.584164040547597e-47	2.7986165864162857e-111	8.425937408032829e-126
8501	9.012946085768513e-15	6.464792085379559e-16	1.476069915806553e-42	2.242083008832584e-47	1.9164363671224066e-111	5.769911169788756e-126
8601	8.601041592632414e-15	6.169341835215674e-16	1.2828023686339852e-42	1.9485183332789184e-47	1.318161438561521e-111	3.9686539154235456e-126
8701	8.212401325683152e-15	5.89057851704478e-16	1.1166500851695514e-42	1.6961405289762178e-47	9.10587192098167e-112	2.7415493521370744e-126
8801	7.845466198675236e-15	5.627383831487768e-16	9.73560348268101e-43	1.4787936984553356e-47	6.31699115643399e-112	1.9018869930664844e-126
8901	7.498797673720167e-15	5.378725945949414e-16	8.501225158731172e-43	1.291297228078673e-47	4.400411727948607e-112	1.3248529117269815e-126
9001	7.171067225652701e-15	5.143651937630114e-16	7.434606597125904e-43	1.1292827108921063e-47	3.0777304267600694e-112	9.266267721003741e-127
9101	6.861046831060196e-15	4.921280971506998e-16	6.511450787439595e-43	9.89059539407861e-48	2.1611419739602145e-112	6.506650527254841e-127
9201	6.567600372433521e-15	4.710798134712592e-16	5.711192101577653e-43	8.675038866142787e-48	1.5234001045853998e-112	4.58657061338611e-127
9301	6.289675860643004e-15	4.511448857880883e-16	5.016391300081798e-43	7.619668100839444e-48	1.0779195502775418e-112	3.2453412843747043e-127
9401	6.026298390087182e-15	4.322533862024212e-16	4.412233705766681e-43	6.70198026751915e-48	7.655354173601713e-113	2.3048318080604343e-127
9501	5.77656375062123e-15	4.1434045765044505e-16	3.886112103735201e-43	5.902825572625129e-48	5.456533174017379e-113	1.6428226355758335e-127
9601	5.5396326289304695e-15	3.9734589798007658e-16	3.427279371713604e-43	5.205879620478824e-48	3.9030844985001785e-113	1.1751187649886143e-127
9701	5.314725339530806e-15	3.812137820167634e-16	3.0265586187953254e-43	4.597203126827438e-48	2.8016045982431336e-113	8.434912490670205e-128
9801	5.101117032188135e-15	3.658921178018171e-16	2.6761008498797747e-43	4.0648738218429255e-48	2.0178205400052083e-113	6.075138903613128e-128
9901	4.898133328370173e-15	3.5133253360433937e-16	2.3691819846104032e-43	3.5986781308802895e-48	1.4581595977690584e-113	4.3901430366698505e-128
10001	4.70514634447752e-15	3.3748999267600773e-16	2.1000325284065326e-43	3.189852452332338e-48	1.057171212579061e-113	3.1828698176689326e-128
